name,style,filename,url
Guy,Hopeful,4e92270a-d7d7-4441-a3c0-487fa637e5ac.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/4e92270a-d7d7-4441-a3c0-487fa637e5ac.wav
Aria,Default,3f09f9b9-2166-4ec0-ae19-68274f756eb5.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/3f09f9b9-2166-4ec0-ae19-68274f756eb5.wav
Aria,Chat,2921c8cd-3426-4b1c-88c7-d5548864bc05.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/2921c8cd-3426-4b1c-88c7-d5548864bc05.wav
Aria,Customer service,e4ee3741-8d97-4fcf-9e0c-43149437185e.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/e4ee3741-8d97-4fcf-9e0c-43149437185e.wav
Aria,Narration - professional,e78bc222-f858-4cc3-b11d-89f9fd1b2991.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/e78bc222-f858-4cc3-b11d-89f9fd1b2991.wav
Aria,Newscast - casual,b9398929-0ab7-4f53-aa12-f3daf3d29e9e.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/b9398929-0ab7-4f53-aa12-f3daf3d29e9e.wav
Aria,Newscast - formal,f9a5308a-210c-4cc1-8abb-37834d375515.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/f9a5308a-210c-4cc1-8abb-37834d375515.wav
Aria,Cheerful,46b1fbc7-ff66-4208-b938-68d1d4fa750f.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/46b1fbc7-ff66-4208-b938-68d1d4fa750f.wav
Aria,Empathetic,fe188bae-f740-4618-b413-0d4b80524e98.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/fe188bae-f740-4618-b413-0d4b80524e98.wav
Aria,Angry,e62658a7-8743-4ea8-87f3-1376908c62fb.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/e62658a7-8743-4ea8-87f3-1376908c62fb.wav
Aria,Sad,018405d9-ee03-439d-bef6-0ca0776b4aa8.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/018405d9-ee03-439d-bef6-0ca0776b4aa8.wav
Aria,Excited,abc563b1-ff09-4d5a-919e-9c58e840a21b.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/abc563b1-ff09-4d5a-919e-9c58e840a21b.wav
Aria,Friendly,02d3c626-dc3e-46fd-a3e5-31ea2de4d79c.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/02d3c626-dc3e-46fd-a3e5-31ea2de4d79c.wav
Aria,Terrified,96987928-bfdd-4fc5-b305-7fcd543ab618.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/96987928-bfdd-4fc5-b305-7fcd543ab618.wav
Aria,Shouting,89c0d767-d7ce-4eac-816b-4d1fcde6bddb.wav,https://cvoiceprodeus.blob.core.windows.net/acc-public-files/285eecc3370e47dcb1a3263c3b6de892/89c0d767-d7ce-4eac-816b-4d1fcde6bddb.wav
